Timestamp,Gender,Work Sector,Educational Qualification,Age range,Do you have a permanent voters card?,Are you likely to vote when there is electoral violence around you?,"Are you likely to prevent a ""female"" loved one from going to vote after violence occurs?","Do you believe that violence deters women from participating in political activities such as rallies, elections, and campaigns?","In your opinion, does violence impact the confidence of women in engaging in political activities?",Did you vote in 2023 General Elections?,"If No, why not?",Have you ever witnessed any form of electoral violence during elections?,Have you ever witnessed any form of harassment on social media?
04/04/2024 17:57,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,No,No,No,No,No PVC,No,No
04/04/2024 18:05,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,Others,Yes,Yes
04/04/2024 18:06,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
04/04/2024 18:08,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,No
04/04/2024 18:10,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/04/2024 18:12,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/04/2024 18:20,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,60 and above,Yes,Yes,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",No,No
04/04/2024 18:29,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Yes,Yes,No,No,No,Others,Uncertain,No
04/04/2024 18:44,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","ND, NCE",31-40,No,Yes,Yes,Uncertain,Yes,No,"Work (Journalist, Health officials, Security agents, Electoral officers)",Yes,Yes
04/04/2024 18:49,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,No,No,Yes,Yes,Yes,No,No PVC,Yes,Yes
04/04/2024 18:50,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,Yes,No,No PVC,No,No
04/04/2024 18:52,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,60 and above,Yes,Yes,Yes,Yes,Yes,Yes,Others,Yes,Yes
04/04/2024 19:01,Female,"Informal Sector (Artisans, Traders)",SSCE and below,18-30,No,Uncertain,Yes,Uncertain,Yes,No,"Unavailable  (distance, health issues)",No,Yes
04/04/2024 19:03,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,No,"Unavailable  (distance, health issues)",Uncertain,Yes
04/04/2024 19:03,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,18-30,No,No,Yes,Yes,No,No,No PVC,No,Yes
04/04/2024 19:15,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,Yes,Yes,Yes,Yes,Others,No,No
04/04/2024 19:17,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,Yes,No,Others,No,No
04/04/2024 19:20,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",18-30,Yes,No,Yes,Yes,No,No,No PVC,No,No
04/04/2024 19:31,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)","HND, B.Sc.",41-50,Yes,No,Yes,Yes,No,No,"Unavailable  (distance, health issues)",No,No
04/04/2024 19:35,Female,"Informal Sector (Artisans, Traders)","HND, B.Sc.",31-40,Yes,No,No,Yes,Yes,No,Electoral Violence,No,No
04/04/2024 19:41,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,Yes,Yes,No,No PVC,No,Yes
04/04/2024 19:45,Male,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",SSCE and below,18-30,Yes,No,Yes,No,No,No,No PVC,Yes,Yes
04/04/2024 20:21,Male,"Informal Sector (Artisans, Traders)",Postgraduate,31-40,Yes,No,Yes,No,Yes,No,"Unavailable  (distance, health issues)",Yes,Yes
04/04/2024 20:46,Female,"Formal Sector (9-5 jobs, Professionals, Hybrid jobs)",Postgraduate,31-40,Yes,No,Yes,Yes,Yes,No,Others,No,Yes
